"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"EF019168.1.1329","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",42,23
"FJ592807.1.1381","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","uncultured bacterium","","",21,18
"KY176943.1.1520","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Ramlibacter sp.",14,33
"EU861962.1.1512","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured soil bacterium",13,6
"KC554901.1.1502","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","",12,14
"FJ592906.1.1373","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured bacterium","",12,4
"KM656253.1.1444","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",11,21
"KM200421.1.1515","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",11,6
"JX505168.1.1467","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacteraceae bacterium",9,2
"KY992640.1.1461","Bacteria","WPS-2","uncultured bacterium","","","","",8,3
"KM200537.1.1487","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonadaceae bacterium",8,1
"KJ191776.1.1462","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured Acidobacteria bacterium",8,5
"JX133404.1.1494","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",8,5
"LN573501.1.1347","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",7,1
"KM200474.1.1512","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacteraceae bacterium",7,1
"KM200467.1.1496","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured beta proteobacterium",7,7
"LN573500.1.1345","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",6,5
"KX823783.1.1512","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured bacterium","",6,1
"KX035245.1.1469","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacter sp.",6,0
"KM200507.1.1479","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured Singulisphaera sp.",6,3
"KJ907768.1.1537","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacteraceae bacterium",6,0
"KC554996.1.1540","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","",6,5
"JF428964.1.1464","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium",6,5
"HM269918.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",6,2
"EU335299.1.1479","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",6,6
"EF018435.1.1352","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured Acidobacteria bacterium","",6,17
"AY960767.1.1469","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","bacterium Ellin504",6,0
"KM200491.1.1513","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",5,0
"JX505095.1.1430","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured Stella sp.","",5,2
"JX133361.1.1474","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",5,3
"JN023819.1.1462","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",5,3
"JN023209.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",5,0
"HQ674908.1.1487","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured Singulisphaera sp.",5,2
"GQ402666.1.1399","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",5,3
"EU881243.1.1513","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",5,5
"EU335327.1.1454","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",5,15
"KX753110.1.1499","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",4,1
"KM200420.1.1475","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Acidobacteria bacterium",4,4
"KJ191984.1.1474","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured Rhodospirillaceae bacterium","",4,8
