#OTU ID	barcode01	barcode02
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_1	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_10	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_100	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_101	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_102	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_103	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_104	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_105	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_106	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_107	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_108	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_109	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_11	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_110	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_111	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_112	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_113	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_114	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_115	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_116	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_117	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_118	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_119	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_12	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_120	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_121	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_122	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_123	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_124	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_125	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_126	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_127	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_128	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_129	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_13	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_130	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_131	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_132	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_133	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_134	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_135	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_136	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_137	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_138	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_139	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_14	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_140	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_141	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_142	0	1
