"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"JX505168.1.1467","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacteraceae bacterium",89,47
"EU861962.1.1512","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured soil bacterium",71,34
"EF516826.1.1471","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",62,28
"KX035245.1.1469","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacter sp.",53,24
"JX505111.1.1469","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured Conexibacter sp.",52,24
"EU335327.1.1454","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",51,76
"KM656253.1.1444","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",48,76
"EU335299.1.1479","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",47,36
"KY176943.1.1520","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Ramlibacter sp.",45,81
"EU335329.1.1454","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",45,72
"AB821168.1.1452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",45,72
"HM748667.1.1405","Bacteria","Chloroflexi","TK10","bacterium Ellin6519","","","",43,9
"AB240258.1.1489","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",43,76
"KX753034.1.1486","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",42,36
"AB696166.1.1453","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","uncultured bacterium",42,78
"KF182252.1.1476","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",40,13
"EF516671.1.1424","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32","uncultured bacterium",40,19
"AY960767.1.1469","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","bacterium Ellin504",40,18
"KM200421.1.1515","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",39,33
"HM270321.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",39,18
"EU680441.1.1471","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured bacterium",39,26
"EF516887.1.1431","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32","uncultured bacterium",39,19
"EF515977.1.1429","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",39,14
"KF182249.1.1476","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",38,39
"EF516174.1.1419","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",37,12
"KX752910.1.1439","Bacteria","Chloroflexi","TK10","uncultured bacterium","","","",35,8
"JX505095.1.1430","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured Stella sp.","",35,25
"JX133404.1.1494","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",34,20
"HM330611.1.1308","Bacteria","Chloroflexi","TK10","uncultured bacterium","","","",34,9
"KJ192098.1.1519","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured Planctomycetaceae bacterium",31,14
"HM269918.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",30,13
"GQ015413.1.1308","Bacteria","Chloroflexi","TK10","uncultured bacterium","","","",30,9
"EF516055.1.1436","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",30,31
"EF018295.1.1342","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured bacterium","","",30,8
"KY992689.1.1467","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured Chloroflexi bacterium","","",29,6
"HQ864204.1.1510","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",28,14
"HQ674908.1.1487","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured Singulisphaera sp.",28,13
"DQ450730.1.1361","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured Chloroflexi bacterium","","",28,3
"GU172176.1.1486","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",27,23
