"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"CP013285.1179807.1181367","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP014790.1735835.1737395","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"JSWS01000001.1232915.1234475","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP015593.1751288.1752847","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",5,5
"CP001602.1970656.1972208","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes 08-5578",1,1
"MJSM01000013.256744.258304","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJNM01000002.102344.103904","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJOQ01000014.256794.258354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJTG01000012.99319.100879","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJUA01000010.99780.101340","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJTC01000011.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJCN01000014.194820.196380","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJQN01000014.124164.125724","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJPG01000007.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJRU01000001.99942.101502","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJCX01000024.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJPE01000032.29.1589","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJCO01000007.99780.101340","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MJTO01000017.160409.161969","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP018685.480898.482458","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP019625.2656345.2657905","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP019622.2798017.2799577","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP019623.236894.238453","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP021325.2488438.2489997","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP009258.2316545.2318169","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP011345.2193608.2195166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP011345.2030704.2032262","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"CP011345.502668.504226","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MCHM01000019.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"LJAR01000002.1610758.1612316","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MKND01000010.104194.105754","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MKOE01000011.99129.100689","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MKPJ01000006.102348.103908","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
"MKOT01000006.54.1614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,1
